date,userType,sessions
2016-12-01,New Visitor,19250
2016-12-01,Returning Visitor,23770
2016-12-02,New Visitor,17904
2016-12-02,Returning Visitor,21576
2016-12-03,New Visitor,19853
2016-12-03,Returning Visitor,23234
2016-12-04,New Visitor,30223
2016-12-04,Returning Visitor,33593
2016-12-05,New Visitor,36744
2016-12-05,Returning Visitor,53037
2016-12-06,New Visitor,35887
2016-12-06,Returning Visitor,46350
2016-12-07,New Visitor,28139
2016-12-07,Returning Visitor,35722
2016-12-08,New Visitor,26529
2016-12-08,Returning Visitor,32978
2016-12-09,New Visitor,22803
2016-12-09,Returning Visitor,28279
2016-12-10,New Visitor,20825
2016-12-10,Returning Visitor,25829
2016-12-11,New Visitor,23938
2016-12-11,Returning Visitor,28456
2016-12-12,New Visitor,22144
2016-12-12,Returning Visitor,26238
2016-12-13,New Visitor,20568
2016-12-13,Returning Visitor,24420
2016-12-14,New Visitor,20279
2016-12-14,Returning Visitor,23415
2016-12-15,New Visitor,23535
2016-12-15,Returning Visitor,34381
2016-12-16,New Visitor,20149
2016-12-16,Returning Visitor,26895
2016-12-17,New Visitor,19098
2016-12-17,Returning Visitor,23599
2016-12-18,New Visitor,22720
2016-12-18,Returning Visitor,26235
2016-12-19,New Visitor,22065
2016-12-19,Returning Visitor,24629
2016-12-20,New Visitor,22072
2016-12-20,Returning Visitor,30231
2016-12-21,New Visitor,17722
2016-12-21,Returning Visitor,22145
2016-12-22,New Visitor,14824
2016-12-22,Returning Visitor,17760
2016-12-23,New Visitor,13120
2016-12-23,Returning Visitor,15077
2016-12-24,New Visitor,9259
2016-12-24,Returning Visitor,10258
2016-12-25,New Visitor,14603
2016-12-25,Returning Visitor,15650
2016-12-26,New Visitor,23040
2016-12-26,Returning Visitor,25130
2016-12-27,New Visitor,29597
2016-12-27,Returning Visitor,37482
2016-12-28,New Visitor,24480
2016-12-28,Returning Visitor,27887
2016-12-29,New Visitor,22144
2016-12-29,Returning Visitor,24752
2016-12-30,New Visitor,18423
2016-12-30,Returning Visitor,20457
2016-12-31,New Visitor,10635
2016-12-31,Returning Visitor,12056
2017-01-01,New Visitor,17643
2017-01-01,Returning Visitor,19474
2017-01-02,New Visitor,35881
2017-01-02,Returning Visitor,37837
2017-01-03,New Visitor,33995
2017-01-03,Returning Visitor,37102
2017-01-04,New Visitor,39601
2017-01-04,Returning Visitor,54211
2017-01-05,New Visitor,25672
2017-01-05,Returning Visitor,34786
2017-01-06,New Visitor,29478
2017-01-06,Returning Visitor,35086
2017-01-07,New Visitor,35769
2017-01-07,Returning Visitor,43127
2017-01-08,New Visitor,43953
2017-01-08,Returning Visitor,50672
2017-01-09,New Visitor,39575
2017-01-09,Returning Visitor,45633
2017-01-10,New Visitor,36777
2017-01-10,Returning Visitor,41364
2017-01-11,New Visitor,33361
2017-01-11,Returning Visitor,39882
