date,userType,users
2016-12-01,New Visitor,19269
2016-12-01,Returning Visitor,18984
2016-12-02,New Visitor,17932
2016-12-02,Returning Visitor,17329
2016-12-03,New Visitor,19872
2016-12-03,Returning Visitor,18523
2016-12-04,New Visitor,30243
2016-12-04,Returning Visitor,26495
2016-12-05,New Visitor,36766
2016-12-05,Returning Visitor,39648
2016-12-06,New Visitor,35907
2016-12-06,Returning Visitor,35421
2016-12-07,New Visitor,28161
2016-12-07,Returning Visitor,27775
2016-12-08,New Visitor,26543
2016-12-08,Returning Visitor,25782
2016-12-09,New Visitor,22820
2016-12-09,Returning Visitor,22091
2016-12-10,New Visitor,20846
2016-12-10,Returning Visitor,20194
2016-12-11,New Visitor,23948
2016-12-11,Returning Visitor,22421
2016-12-12,New Visitor,22156
2016-12-12,Returning Visitor,20733
2016-12-13,New Visitor,20584
2016-12-13,Returning Visitor,19337
2016-12-14,New Visitor,20289
2016-12-14,Returning Visitor,18634
2016-12-15,New Visitor,23554
2016-12-15,Returning Visitor,26228
2016-12-16,New Visitor,20164
2016-12-16,Returning Visitor,20914
2016-12-17,New Visitor,19115
2016-12-17,Returning Visitor,18463
2016-12-18,New Visitor,22733
2016-12-18,Returning Visitor,20750
2016-12-19,New Visitor,22113
2016-12-19,Returning Visitor,19407
2016-12-20,New Visitor,22089
2016-12-20,Returning Visitor,23477
2016-12-21,New Visitor,17740
2016-12-21,Returning Visitor,17153
2016-12-22,New Visitor,14847
2016-12-22,Returning Visitor,13989
2016-12-23,New Visitor,13137
2016-12-23,Returning Visitor,11878
2016-12-24,New Visitor,9272
2016-12-24,Returning Visitor,8239
2016-12-25,New Visitor,14616
2016-12-25,Returning Visitor,12494
2016-12-26,New Visitor,23057
2016-12-26,Returning Visitor,19621
2016-12-27,New Visitor,29622
2016-12-27,Returning Visitor,28998
2016-12-28,New Visitor,24497
2016-12-28,Returning Visitor,21708
2016-12-29,New Visitor,22164
2016-12-29,Returning Visitor,19328
2016-12-30,New Visitor,18444
2016-12-30,Returning Visitor,15986
2016-12-31,New Visitor,10655
2016-12-31,Returning Visitor,9692
2017-01-01,New Visitor,17657
2017-01-01,Returning Visitor,15761
2017-01-02,New Visitor,35899
2017-01-02,Returning Visitor,29621
2017-01-03,New Visitor,34012
2017-01-03,Returning Visitor,29039
2017-01-04,New Visitor,39622
2017-01-04,Returning Visitor,40737
2017-01-05,New Visitor,25710
2017-01-05,Returning Visitor,26711
2017-01-06,New Visitor,29501
2017-01-06,Returning Visitor,27456
2017-01-07,New Visitor,35798
2017-01-07,Returning Visitor,33437
2017-01-08,New Visitor,43977
2017-01-08,Returning Visitor,39494
2017-01-09,New Visitor,39602
2017-01-09,Returning Visitor,35715
2017-01-10,New Visitor,36798
2017-01-10,Returning Visitor,32422
2017-01-11,New Visitor,33386
2017-01-11,Returning Visitor,31342
